id,text
1903646876571938831,yang pake indihome pada lemot gak? kok aku lemot bgt anjir dari beberapa hari yang lalu
1903646483741827579,"@didiaryy Kak Dian maaf ya :( kalo jaringan Telkomsel dan IndiHome gak stabil, boleh DM nomor HP, nomor IndiHome, atas nama, waktu tanggal kejadian dan lokasi detail (kel,kec) biar dibantu cek ya. Makasih :( -Nesya"
1903646212051644756,@IndiHome  tolong dong jaringan indihome dirumah saya blm stabil stabil ni tolong penanganan nya
1903646037027549488,"@IndiHomeCare Nomer indihome
122869239276 An R Akbar Widya~

Selamat pagi saya sudah membayar tagihan indihome saya kenapa blm aktif.terimakasih"
1903645884132610541,"@Wi8888888888wi @IndiHome Hai kak, Kami dari Pusat Monitoring Telekomunikasi Kementerian Komunikasi dan Digital RI (Kementerian Komdigi), aduan tersebut sudah menjadi bagian dari tiketing kami dan diteruskan ke ISP terkait untuk di tindak lanjuti. Semoga layanan kembali normal dan dapat dimanfaatkan"
1903645580930543893,@Telkomsel ada apa ini jaringan tidak bagus di rengat? indihome juga tidak bagus
1903644460581589010,"@IndiHome dari kemaren internet lemot banget gak sesuai sama kontrak, udah bayar tepat waktu padahal, tolong dicek https://t.co/b75gf0v3U3"
1903644411743138094,"@IndiHome Halo min, jaringan Indihome memang lelet atau gimana ya? Karena tdi aku buka shopee gabisa trus juga kan aku pke Indihome di tv, nah tdi ada lag juga, mohon bantuannya"
1903644311247634577,"@Dewanggarh Kak Dewangga maafin ya :( pastikan kabel patch cord (kabel warna hitam/kuning dgn ujung kabel warna biru) terpasang dgn benar. Kalo masih sama, infoin ke DM nomor IndiHome dan nama lengkap biar dibantu cek :) -Nesya"
1903644114450825462,"@tidakterangg Sini sini, Ezzi bantu cek IndiHome dan Telkomsel Kak Vina, boleh? Maafin 😢 -Ezzi"
1903643475738062900,"@susidwii Waaah, udah berapa lama bareng sama IndiHome, nih, Kak Ѕuѕi? ☺️ -Ezzi"
1903643449754345746,"Indihome kenapa sih anjir, jaringan telkomsel juga kenapa lemot banget ASTAGHFIRULLAH"
1903642490529521706,"Pagi min, mau nanya dong. Wifi ku kok ""terhubung, tidak ada internet"" udah aku cek perkebelanannya, udah restart dan udah matiin selama 15 menit tapi ga works. Kira-kira apakah mmg lagi gangguan jaringan IndiHome atau gimana? Mohon infonya dong @IndiHomeCare https://t.co/BS1pIdJFXc"
